Number of parameters: 24,627,840
iter 101: loss 5.5425, time 4808.10ms, mfu 0.05%
iter 102: loss 5.5728, time 2431.91ms, mfu 0.05%
iter 103: loss 5.1840, time 1801.46ms, mfu 0.06%
iter 104: loss 4.7486, time 3678.67ms, mfu 0.06%
iter 105: loss 4.8924, time 4807.07ms, mfu 0.06%
iter 106: loss 4.9593, time 4788.06ms, mfu 0.06%
iter 107: loss 5.0236, time 3030.11ms, mfu 0.06%
iter 108: loss 4.7680, time 2293.05ms, mfu 0.06%
iter 109: loss 5.2429, time 4672.64ms, mfu 0.06%
iter 110: loss 4.9149, time 4783.44ms, mfu 0.06%
iter 111: loss 5.0174, time 4783.18ms, mfu 0.05%
iter 112: loss 4.6258, time 4783.75ms, mfu 0.05%
iter 113: loss 4.9674, time 2568.13ms, mfu 0.06%
iter 114: loss 4.2830, time 3094.30ms, mfu 0.06%
iter 115: loss 5.2292, time 2836.71ms, mfu 0.06%
iter 116: loss 5.0266, time 3818.94ms, mfu 0.06%
iter 117: loss 5.1037, time 4783.59ms, mfu 0.06%
iter 118: loss 4.6769, time 2563.38ms, mfu 0.06%
iter 119: loss 4.9314, time 2183.31ms, mfu 0.06%
iter 120: loss 4.9893, time 3079.89ms, mfu 0.06%
iter 121: loss 5.3581, time 4807.53ms, mfu 0.06%
iter 122: loss 4.7975, time 4809.51ms, mfu 0.06%
iter 123: loss 4.7209, time 4808.86ms, mfu 0.06%
iter 124: loss 4.5102, time 4814.88ms, mfu 0.05%
iter 125: loss 4.6546, time 4809.53ms, mfu 0.05%
iter 126: loss 4.8803, time 4809.10ms, mfu 0.05%
iter 127: loss 4.3420, time 4807.75ms, mfu 0.05%
iter 128: loss 5.1056, time 4808.50ms, mfu 0.05%
iter 129: loss 4.6474, time 4808.86ms, mfu 0.05%
iter 130: loss 4.7148, time 4807.41ms, mfu 0.05%
iter 131: loss 4.8979, time 4546.36ms, mfu 0.05%
iter 132: loss 4.5541, time 1866.19ms, mfu 0.05%
iter 133: loss 4.9407, time 4026.35ms, mfu 0.05%
iter 134: loss 4.6222, time 4785.40ms, mfu 0.05%
iter 135: loss 5.0425, time 4788.26ms, mfu 0.05%
iter 136: loss 4.4956, time 4568.09ms, mfu 0.05%
iter 137: loss 4.9796, time 4811.06ms, mfu 0.05%
iter 138: loss 4.6458, time 4785.19ms, mfu 0.05%
iter 139: loss 4.6369, time 4785.62ms, mfu 0.05%
iter 140: loss 4.8495, time 4783.79ms, mfu 0.05%
iter 141: loss 4.5961, time 4786.24ms, mfu 0.05%
iter 142: loss 4.6312, time 4785.31ms, mfu 0.05%
iter 143: loss 4.6433, time 2088.84ms, mfu 0.05%
iter 144: loss 4.6633, time 3245.51ms, mfu 0.05%
iter 145: loss 4.3761, time 4809.12ms, mfu 0.05%
iter 146: loss 4.5768, time 4808.96ms, mfu 0.05%
iter 147: loss 4.6060, time 4807.62ms, mfu 0.05%
iter 148: loss 4.6539, time 4809.12ms, mfu 0.05%
iter 149: loss 4.6572, time 4809.02ms, mfu 0.05%
iter 150: loss 5.0170, time 4814.01ms, mfu 0.05%
iter 151: loss 4.5105, time 4810.35ms, mfu 0.05%
