Number of parameters: 24,627,840
iter 101: loss 5.5425, time 4808.68ms, mfu 0.06%
iter 102: loss 5.5728, time 4806.76ms, mfu 0.06%
iter 103: loss 5.1840, time 3039.45ms, mfu 0.06%
iter 104: loss 4.7486, time 2524.75ms, mfu 0.06%
iter 105: loss 4.8924, time 4809.43ms, mfu 0.06%
iter 106: loss 4.9593, time 3889.07ms, mfu 0.06%
iter 107: loss 5.0236, time 1703.90ms, mfu 0.06%
iter 108: loss 4.7680, time 3186.66ms, mfu 0.06%
iter 109: loss 5.2429, time 4791.42ms, mfu 0.06%
iter 110: loss 4.9149, time 4805.67ms, mfu 0.06%
iter 111: loss 5.0174, time 4807.18ms, mfu 0.06%
iter 112: loss 4.6258, time 2045.31ms, mfu 0.06%
iter 113: loss 4.9674, time 1773.35ms, mfu 0.07%
iter 114: loss 4.2830, time 3302.13ms, mfu 0.07%
iter 115: loss 5.2292, time 4783.59ms, mfu 0.06%
iter 116: loss 5.0266, time 4806.94ms, mfu 0.06%
iter 117: loss 5.1037, time 2930.17ms, mfu 0.06%
iter 118: loss 4.6769, time 2596.37ms, mfu 0.06%
iter 119: loss 4.9314, time 4808.65ms, mfu 0.06%
iter 120: loss 4.9893, time 4806.75ms, mfu 0.06%
iter 121: loss 5.3581, time 2304.41ms, mfu 0.06%
iter 122: loss 4.7975, time 1904.32ms, mfu 0.07%
iter 123: loss 4.7209, time 2823.43ms, mfu 0.07%
iter 124: loss 4.5102, time 4784.84ms, mfu 0.06%
iter 125: loss 4.6546, time 4789.85ms, mfu 0.06%
iter 126: loss 4.8803, time 4783.42ms, mfu 0.06%
iter 127: loss 4.3420, time 4132.39ms, mfu 0.06%
iter 128: loss 5.1056, time 4139.68ms, mfu 0.06%
iter 129: loss 4.6474, time 4135.24ms, mfu 0.06%
iter 130: loss 4.7148, time 4615.95ms, mfu 0.06%
iter 131: loss 4.8979, time 1559.66ms, mfu 0.06%
iter 132: loss 4.5541, time 2111.79ms, mfu 0.07%
iter 133: loss 4.9407, time 2163.15ms, mfu 0.07%
iter 134: loss 4.6222, time 2677.50ms, mfu 0.07%
iter 135: loss 5.0425, time 4807.16ms, mfu 0.07%
iter 136: loss 4.4956, time 4807.82ms, mfu 0.06%
iter 137: loss 4.9796, time 4807.89ms, mfu 0.06%
iter 138: loss 4.6458, time 4808.26ms, mfu 0.06%
iter 139: loss 4.6369, time 2371.64ms, mfu 0.06%
iter 140: loss 4.8495, time 3026.16ms, mfu 0.06%
iter 141: loss 4.5961, time 4815.18ms, mfu 0.06%
iter 142: loss 4.6312, time 4807.86ms, mfu 0.06%
iter 143: loss 4.6433, time 2881.55ms, mfu 0.06%
iter 144: loss 4.6633, time 1980.76ms, mfu 0.06%
iter 145: loss 4.3761, time 4808.97ms, mfu 0.06%
iter 146: loss 4.5768, time 4808.70ms, mfu 0.06%
iter 147: loss 4.6060, time 4807.85ms, mfu 0.06%
iter 148: loss 4.6539, time 4807.45ms, mfu 0.06%
iter 149: loss 4.6572, time 3448.02ms, mfu 0.06%
iter 150: loss 5.0170, time 2707.83ms, mfu 0.06%
iter 151: loss 4.5105, time 4807.27ms, mfu 0.06%
iter 152: loss 4.6438, time 4807.79ms, mfu 0.05%
iter 153: loss 4.5508, time 4808.25ms, mfu 0.05%
iter 154: loss 4.4425, time 2100.19ms, mfu 0.06%
iter 155: loss 5.0219, time 1880.68ms, mfu 0.06%
iter 156: loss 4.8076, time 3255.29ms, mfu 0.06%
iter 157: loss 5.0595, time 4813.27ms, mfu 0.06%
iter 158: loss 4.5012, time 4808.00ms, mfu 0.06%
iter 159: loss 4.5815, time 4808.77ms, mfu 0.06%
iter 160: loss 4.3783, time 2407.73ms, mfu 0.06%
iter 161: loss 4.6003, time 1928.58ms, mfu 0.06%
iter 162: loss 4.3779, time 3239.52ms, mfu 0.06%
iter 163: loss 4.8321, time 4808.51ms, mfu 0.06%
iter 164: loss 4.4635, time 4806.96ms, mfu 0.06%
iter 165: loss 4.3243, time 4808.89ms, mfu 0.06%
iter 166: loss 4.8133, time 4807.71ms, mfu 0.06%
iter 167: loss 4.5205, time 4807.42ms, mfu 0.05%
iter 168: loss 4.9332, time 4808.20ms, mfu 0.05%
iter 169: loss 4.6514, time 1874.47ms, mfu 0.06%
iter 170: loss 5.0023, time 2175.34ms, mfu 0.06%
iter 171: loss 4.7036, time 4808.62ms, mfu 0.06%
iter 172: loss 4.8957, time 4815.48ms, mfu 0.06%
iter 173: loss 4.4526, time 4806.79ms, mfu 0.06%
iter 174: loss 4.7214, time 2678.94ms, mfu 0.06%
iter 175: loss 5.0004, time 1962.22ms, mfu 0.06%
iter 176: loss 4.6804, time 1984.80ms, mfu 0.07%
iter 177: loss 4.2885, time 4254.90ms, mfu 0.06%
iter 178: loss 4.5302, time 4807.59ms, mfu 0.06%
iter 179: loss 4.4459, time 4807.87ms, mfu 0.06%
iter 180: loss 4.0356, time 4808.56ms, mfu 0.06%
iter 181: loss 4.7451, time 3708.59ms, mfu 0.06%
iter 182: loss 4.4231, time 1935.02ms, mfu 0.06%
iter 183: loss 4.2490, time 1946.77ms, mfu 0.07%
iter 184: loss 4.7039, time 4646.55ms, mfu 0.06%
iter 185: loss 4.3915, time 4807.23ms, mfu 0.06%
iter 186: loss 4.7798, time 4808.19ms, mfu 0.06%
iter 187: loss 4.5593, time 4808.01ms, mfu 0.06%
iter 188: loss 4.5958, time 2333.63ms, mfu 0.06%
iter 189: loss 4.4556, time 2049.78ms, mfu 0.06%
iter 190: loss 4.6431, time 4806.83ms, mfu 0.06%
iter 191: loss 4.6498, time 4783.96ms, mfu 0.06%
iter 192: loss 4.8908, time 2054.08ms, mfu 0.06%
iter 193: loss 4.8139, time 1949.04ms, mfu 0.07%
iter 194: loss 4.2490, time 4569.71ms, mfu 0.06%
iter 195: loss 4.6669, time 4808.42ms, mfu 0.06%
iter 196: loss 4.5413, time 4806.39ms, mfu 0.06%
iter 197: loss 4.2228, time 4808.96ms, mfu 0.06%
iter 198: loss 4.3612, time 2228.42ms, mfu 0.06%
iter 199: loss 4.6702, time 1733.78ms, mfu 0.07%
iter 200: loss 4.5861, time 3878.60ms, mfu 0.07%
iter 201: loss 4.6599, time 4807.89ms, mfu 0.06%
iter 202: loss 4.5476, time 4783.59ms, mfu 0.06%
iter 203: loss 4.2769, time 3099.92ms, mfu 0.06%
iter 204: loss 4.4441, time 1811.35ms, mfu 0.07%
iter 205: loss 4.5328, time 3791.96ms, mfu 0.06%
iter 206: loss 4.4401, time 4760.77ms, mfu 0.06%
iter 207: loss 4.4035, time 4782.25ms, mfu 0.06%
iter 208: loss 4.5119, time 4782.94ms, mfu 0.06%
iter 209: loss 4.5555, time 4784.55ms, mfu 0.06%
iter 210: loss 4.3952, time 4125.92ms, mfu 0.06%
iter 211: loss 4.3209, time 2579.20ms, mfu 0.06%
iter 212: loss 4.7023, time 3558.75ms, mfu 0.06%
iter 213: loss 4.6518, time 4763.54ms, mfu 0.06%
iter 214: loss 4.1465, time 4128.07ms, mfu 0.06%
iter 215: loss 4.4826, time 2841.42ms, mfu 0.06%
iter 216: loss 4.4826, time 2574.91ms, mfu 0.06%
iter 217: loss 4.3480, time 3764.66ms, mfu 0.06%
iter 218: loss 4.1051, time 4562.74ms, mfu 0.06%
iter 219: loss 4.0828, time 3482.67ms, mfu 0.06%
iter 220: loss 4.4263, time 4679.71ms, mfu 0.06%
iter 221: loss 4.9798, time 2565.33ms, mfu 0.06%
iter 222: loss 4.6494, time 3781.68ms, mfu 0.06%
iter 223: loss 4.3409, time 4136.97ms, mfu 0.06%
iter 224: loss 4.5694, time 3509.69ms, mfu 0.06%
iter 225: loss 4.4452, time 4118.57ms, mfu 0.06%
iter 226: loss 4.5843, time 4125.64ms, mfu 0.05%
iter 227: loss 4.6592, time 4783.09ms, mfu 0.05%
iter 228: loss 4.4310, time 2715.09ms, mfu 0.06%
iter 229: loss 4.4168, time 4809.09ms, mfu 0.05%
iter 230: loss 4.4198, time 2268.27ms, mfu 0.06%
iter 231: loss 4.1019, time 1903.35ms, mfu 0.06%
iter 232: loss 4.5083, time 4807.93ms, mfu 0.06%
iter 233: loss 4.2490, time 4808.89ms, mfu 0.06%
iter 234: loss 4.7511, time 4806.70ms, mfu 0.06%
iter 235: loss 4.3708, time 4808.24ms, mfu 0.05%
iter 236: loss 3.8775, time 3568.52ms, mfu 0.05%
iter 237: loss 4.5894, time 1516.23ms, mfu 0.06%
iter 238: loss 4.3240, time 4509.27ms, mfu 0.06%
iter 239: loss 4.1102, time 4808.76ms, mfu 0.06%
iter 240: loss 4.5112, time 4784.97ms, mfu 0.06%
iter 241: loss 4.4434, time 1626.72ms, mfu 0.06%
iter 242: loss 4.1337, time 1617.55ms, mfu 0.07%
iter 243: loss 4.8408, time 4762.53ms, mfu 0.07%
iter 244: loss 4.4429, time 4805.86ms, mfu 0.06%
iter 245: loss 4.5897, time 4382.41ms, mfu 0.06%
iter 246: loss 4.7290, time 1599.78ms, mfu 0.07%
iter 247: loss 4.1248, time 4342.14ms, mfu 0.07%
iter 248: loss 4.1057, time 4806.73ms, mfu 0.06%
iter 249: loss 4.4338, time 4807.89ms, mfu 0.06%
step 250: train loss 4.3499, val loss 5.0714
saving checkpoint to out-shakespeare
iter 250: loss 4.0756, time 164654.64ms, mfu 0.06%
iter 251: loss 4.4166, time 4786.65ms, mfu 0.05%
iter 252: loss 4.4027, time 4783.77ms, mfu 0.05%
iter 253: loss 4.2599, time 4784.86ms, mfu 0.05%
iter 254: loss 4.6011, time 1705.94ms, mfu 0.06%
iter 255: loss 3.9500, time 1967.53ms, mfu 0.06%
iter 256: loss 4.4112, time 3725.97ms, mfu 0.06%
iter 257: loss 4.2352, time 4814.49ms, mfu 0.06%
iter 258: loss 4.4645, time 4808.05ms, mfu 0.06%
iter 259: loss 4.1707, time 3268.77ms, mfu 0.06%
iter 260: loss 4.5269, time 1761.54ms, mfu 0.06%
iter 261: loss 3.9158, time 4301.98ms, mfu 0.06%
iter 262: loss 4.6379, time 4804.91ms, mfu 0.06%
iter 263: loss 4.5229, time 4782.46ms, mfu 0.06%
iter 264: loss 4.3179, time 2101.35ms, mfu 0.06%
iter 265: loss 4.7133, time 3601.25ms, mfu 0.06%
iter 266: loss 4.4937, time 4785.85ms, mfu 0.06%
iter 267: loss 4.4647, time 4679.70ms, mfu 0.06%
iter 268: loss 4.3208, time 4787.11ms, mfu 0.06%
iter 269: loss 4.3331, time 4783.83ms, mfu 0.05%
iter 270: loss 3.9765, time 2935.39ms, mfu 0.06%
iter 271: loss 4.6614, time 1648.05ms, mfu 0.06%
iter 272: loss 4.3300, time 2406.55ms, mfu 0.06%
iter 273: loss 4.0656, time 4812.81ms, mfu 0.06%
iter 274: loss 4.2833, time 4809.41ms, mfu 0.06%
iter 275: loss 4.8020, time 4807.28ms, mfu 0.06%
iter 276: loss 4.4321, time 4807.35ms, mfu 0.06%
iter 277: loss 4.5748, time 3254.54ms, mfu 0.06%
iter 278: loss 4.0574, time 1694.52ms, mfu 0.06%
iter 279: loss 4.2075, time 4279.49ms, mfu 0.06%
iter 280: loss 4.4770, time 4809.02ms, mfu 0.06%
iter 281: loss 4.6626, time 4807.62ms, mfu 0.06%
iter 282: loss 5.0957, time 4668.86ms, mfu 0.06%
iter 283: loss 4.3921, time 1987.57ms, mfu 0.06%
iter 284: loss 3.9066, time 2033.39ms, mfu 0.06%
iter 285: loss 4.2762, time 4503.39ms, mfu 0.06%
iter 286: loss 4.3285, time 4806.97ms, mfu 0.06%
iter 287: loss 4.3137, time 4807.29ms, mfu 0.06%
iter 288: loss 4.0089, time 4815.19ms, mfu 0.06%
iter 289: loss 4.3311, time 2905.09ms, mfu 0.06%
iter 290: loss 4.5160, time 1754.53ms, mfu 0.06%
iter 291: loss 4.1002, time 4487.93ms, mfu 0.06%
