Number of parameters: 24,627,840
iter 101: loss 5.5425, time 1990.01ms, mfu 0.07%
iter 102: loss 5.5728, time 2908.92ms, mfu 0.07%
iter 103: loss 5.1841, time 4807.36ms, mfu 0.07%
iter 104: loss 4.7486, time 4809.02ms, mfu 0.06%
iter 105: loss 4.8924, time 4808.22ms, mfu 0.06%
iter 106: loss 4.9593, time 4807.59ms, mfu 0.06%
iter 107: loss 5.0237, time 4809.92ms, mfu 0.06%
iter 108: loss 4.7680, time 2055.91ms, mfu 0.06%
iter 109: loss 5.2429, time 1826.59ms, mfu 0.07%
iter 110: loss 4.9149, time 3487.95ms, mfu 0.06%
iter 111: loss 5.0174, time 4809.28ms, mfu 0.06%
iter 112: loss 4.6258, time 4787.98ms, mfu 0.06%
iter 113: loss 4.9675, time 4813.44ms, mfu 0.06%
iter 114: loss 4.2830, time 2254.60ms, mfu 0.06%
iter 115: loss 5.2292, time 1765.59ms, mfu 0.07%
iter 116: loss 5.0266, time 4253.89ms, mfu 0.06%
iter 117: loss 5.1036, time 4809.93ms, mfu 0.06%
iter 118: loss 4.6770, time 4808.27ms, mfu 0.06%
iter 119: loss 4.9314, time 4760.20ms, mfu 0.06%
iter 120: loss 4.9893, time 1561.02ms, mfu 0.07%
iter 121: loss 5.3581, time 4358.09ms, mfu 0.06%
iter 122: loss 4.7976, time 4808.70ms, mfu 0.06%
iter 123: loss 4.7209, time 4784.05ms, mfu 0.06%
iter 124: loss 4.5102, time 1582.32ms, mfu 0.07%
iter 125: loss 4.6547, time 2636.84ms, mfu 0.07%
iter 126: loss 4.8802, time 4785.36ms, mfu 0.06%
iter 127: loss 4.3420, time 4785.69ms, mfu 0.06%
iter 128: loss 5.1056, time 4786.79ms, mfu 0.06%
iter 129: loss 4.6474, time 2026.06ms, mfu 0.06%
iter 130: loss 4.7148, time 2480.72ms, mfu 0.07%
iter 131: loss 4.8979, time 4806.22ms, mfu 0.06%
iter 132: loss 4.5541, time 4808.57ms, mfu 0.06%
iter 133: loss 4.9408, time 4663.18ms, mfu 0.06%
iter 134: loss 4.6222, time 1636.39ms, mfu 0.07%
iter 135: loss 5.0426, time 2649.03ms, mfu 0.07%
iter 136: loss 4.4956, time 4808.69ms, mfu 0.06%
iter 137: loss 4.9796, time 4807.78ms, mfu 0.06%
iter 138: loss 4.6459, time 4806.87ms, mfu 0.06%
iter 139: loss 4.6370, time 2680.40ms, mfu 0.06%
iter 140: loss 4.8494, time 1803.51ms, mfu 0.07%
iter 141: loss 4.5962, time 4257.92ms, mfu 0.06%
iter 142: loss 4.6313, time 4808.25ms, mfu 0.06%
iter 143: loss 4.6434, time 4385.51ms, mfu 0.06%
iter 144: loss 4.6633, time 1618.65ms, mfu 0.07%
iter 145: loss 4.3761, time 2387.72ms, mfu 0.07%
iter 146: loss 4.5768, time 4815.03ms, mfu 0.07%
iter 147: loss 4.6059, time 4808.93ms, mfu 0.06%
iter 148: loss 4.6539, time 4806.75ms, mfu 0.06%
iter 149: loss 4.6572, time 3808.27ms, mfu 0.06%
iter 150: loss 5.0170, time 1783.75ms, mfu 0.07%
iter 151: loss 4.5104, time 1817.54ms, mfu 0.07%
iter 152: loss 4.6438, time 4016.31ms, mfu 0.07%
iter 153: loss 4.5509, time 4808.58ms, mfu 0.06%
iter 154: loss 4.4424, time 4807.63ms, mfu 0.06%
iter 155: loss 5.0220, time 4808.02ms, mfu 0.06%
iter 156: loss 4.8077, time 2357.72ms, mfu 0.06%
iter 157: loss 5.0594, time 1933.95ms, mfu 0.07%
iter 158: loss 4.5011, time 2615.05ms, mfu 0.07%
iter 159: loss 4.5815, time 4808.38ms, mfu 0.07%
iter 160: loss 4.3783, time 4806.32ms, mfu 0.06%
iter 161: loss 4.6004, time 4808.73ms, mfu 0.06%
iter 162: loss 4.3780, time 4814.97ms, mfu 0.06%
iter 163: loss 4.8320, time 4806.45ms, mfu 0.06%
iter 164: loss 4.4634, time 2559.51ms, mfu 0.06%
iter 165: loss 4.3244, time 1969.54ms, mfu 0.06%
iter 166: loss 4.8135, time 2005.74ms, mfu 0.07%
iter 167: loss 4.5205, time 3236.27ms, mfu 0.07%
iter 168: loss 4.9332, time 4806.16ms, mfu 0.06%
iter 169: loss 4.6514, time 4808.68ms, mfu 0.06%
iter 170: loss 5.0022, time 4806.72ms, mfu 0.06%
iter 171: loss 4.7037, time 4807.39ms, mfu 0.06%
iter 172: loss 4.8956, time 3761.69ms, mfu 0.06%
iter 173: loss 4.4526, time 1659.79ms, mfu 0.06%
iter 174: loss 4.7215, time 3606.19ms, mfu 0.06%
