Number of parameters: 24,185,472
iter 105: loss 4.9371, time 95.39ms, mfu 2.05%
iter 106: loss 5.2754, time 96.55ms, mfu 2.05%
iter 107: loss 5.0415, time 95.25ms, mfu 2.05%
iter 108: loss 4.8872, time 95.79ms, mfu 2.05%
iter 109: loss 4.4858, time 95.37ms, mfu 2.05%
iter 110: loss 4.9121, time 95.93ms, mfu 2.04%
iter 111: loss 5.1161, time 95.06ms, mfu 2.05%
iter 112: loss 4.9442, time 95.29ms, mfu 2.05%
iter 113: loss 4.8976, time 95.10ms, mfu 2.05%
iter 114: loss 4.7976, time 95.57ms, mfu 2.05%
iter 115: loss 5.3250, time 95.19ms, mfu 2.05%
iter 116: loss 4.9692, time 95.93ms, mfu 2.04%
iter 117: loss 4.8299, time 95.02ms, mfu 2.05%
iter 118: loss 4.6334, time 95.84ms, mfu 2.04%
iter 119: loss 4.7255, time 94.96ms, mfu 2.05%
iter 120: loss 4.8306, time 96.00ms, mfu 2.04%
iter 121: loss 5.0743, time 94.56ms, mfu 2.05%
iter 122: loss 4.8950, time 96.20ms, mfu 2.04%
iter 123: loss 4.7078, time 95.25ms, mfu 2.05%
iter 124: loss 4.7947, time 95.11ms, mfu 2.05%
iter 125: loss 4.7793, time 95.34ms, mfu 2.05%
iter 126: loss 4.8123, time 95.22ms, mfu 2.05%
iter 127: loss 4.9357, time 95.49ms, mfu 2.05%
iter 128: loss 4.4015, time 95.00ms, mfu 2.05%
iter 129: loss 4.9912, time 95.29ms, mfu 2.05%
iter 130: loss 4.5455, time 94.97ms, mfu 2.05%
iter 131: loss 4.5088, time 95.30ms, mfu 2.05%
iter 132: loss 4.8725, time 95.45ms, mfu 2.05%
iter 133: loss 4.8899, time 95.13ms, mfu 2.05%
iter 134: loss 4.7305, time 95.19ms, mfu 2.05%
iter 135: loss 4.5892, time 95.27ms, mfu 2.05%
iter 136: loss 4.5967, time 94.87ms, mfu 2.05%
iter 137: loss 4.8826, time 95.93ms, mfu 2.05%
iter 138: loss 5.0893, time 95.14ms, mfu 2.05%
iter 139: loss 4.9219, time 95.06ms, mfu 2.05%
iter 140: loss 4.8200, time 95.30ms, mfu 2.05%
iter 141: loss 4.4817, time 95.81ms, mfu 2.05%
iter 142: loss 5.0117, time 95.37ms, mfu 2.05%
iter 143: loss 4.2892, time 95.70ms, mfu 2.05%
iter 144: loss 4.7778, time 95.05ms, mfu 2.05%
iter 145: loss 5.0571, time 95.21ms, mfu 2.05%
iter 146: loss 4.4764, time 95.58ms, mfu 2.05%
iter 147: loss 4.7768, time 95.07ms, mfu 2.05%
iter 148: loss 4.5586, time 95.48ms, mfu 2.05%
iter 149: loss 4.4732, time 95.44ms, mfu 2.05%
iter 150: loss 4.4571, time 94.85ms, mfu 2.05%
iter 151: loss 4.8502, time 95.36ms, mfu 2.05%
iter 152: loss 5.1732, time 95.15ms, mfu 2.05%
iter 153: loss 4.6112, time 95.38ms, mfu 2.05%
iter 154: loss 4.8966, time 95.38ms, mfu 2.05%
iter 155: loss 4.9509, time 95.36ms, mfu 2.05%
iter 156: loss 4.7409, time 95.23ms, mfu 2.05%
iter 157: loss 4.5677, time 95.26ms, mfu 2.05%
iter 158: loss 4.7792, time 95.80ms, mfu 2.05%
iter 159: loss 4.6568, time 94.67ms, mfu 2.05%
iter 160: loss 4.8746, time 97.63ms, mfu 2.04%
iter 161: loss 4.8936, time 94.84ms, mfu 2.04%
iter 162: loss 4.7095, time 95.37ms, mfu 2.04%
iter 163: loss 4.2539, time 95.92ms, mfu 2.04%
iter 164: loss 4.6595, time 95.08ms, mfu 2.04%
iter 165: loss 4.4783, time 95.10ms, mfu 2.05%
iter 166: loss 5.1681, time 95.21ms, mfu 2.05%
iter 167: loss 4.3766, time 94.98ms, mfu 2.05%
iter 168: loss 4.7458, time 95.18ms, mfu 2.05%
iter 169: loss 4.5588, time 95.14ms, mfu 2.05%
iter 170: loss 4.3611, time 95.08ms, mfu 2.05%
iter 171: loss 4.4215, time 95.56ms, mfu 2.05%
iter 172: loss 4.4478, time 95.13ms, mfu 2.05%
iter 173: loss 4.1647, time 95.09ms, mfu 2.05%
iter 174: loss 4.0277, time 95.43ms, mfu 2.05%
iter 175: loss 4.8923, time 95.32ms, mfu 2.05%
iter 176: loss 4.3936, time 95.06ms, mfu 2.05%
iter 177: loss 4.7278, time 95.03ms, mfu 2.05%
iter 178: loss 4.7303, time 95.23ms, mfu 2.05%
iter 179: loss 4.5395, time 95.96ms, mfu 2.05%
iter 180: loss 4.8793, time 95.86ms, mfu 2.05%
iter 181: loss 4.3207, time 94.52ms, mfu 2.05%
iter 182: loss 4.2172, time 95.03ms, mfu 2.05%
iter 183: loss 5.0434, time 95.29ms, mfu 2.05%
iter 184: loss 4.5457, time 95.16ms, mfu 2.05%
iter 185: loss 4.5080, time 95.21ms, mfu 2.05%
iter 186: loss 4.5985, time 95.15ms, mfu 2.05%
iter 187: loss 4.4509, time 95.04ms, mfu 2.05%
iter 188: loss 4.5777, time 95.31ms, mfu 2.05%
iter 189: loss 4.3128, time 95.09ms, mfu 2.05%
iter 190: loss 4.4078, time 95.61ms, mfu 2.05%
iter 191: loss 4.9623, time 94.93ms, mfu 2.05%
iter 192: loss 4.4191, time 95.09ms, mfu 2.05%
iter 193: loss 4.5646, time 95.32ms, mfu 2.05%
iter 194: loss 4.4172, time 95.15ms, mfu 2.05%
iter 195: loss 4.3959, time 95.43ms, mfu 2.05%
iter 196: loss 4.6207, time 95.44ms, mfu 2.05%
iter 197: loss 4.5414, time 95.06ms, mfu 2.05%
iter 198: loss 4.4507, time 95.14ms, mfu 2.05%
iter 199: loss 4.5620, time 95.21ms, mfu 2.05%
iter 200: loss 4.5204, time 95.25ms, mfu 2.05%
iter 201: loss 4.5443, time 95.15ms, mfu 2.05%
iter 202: loss 4.4254, time 96.41ms, mfu 2.05%
iter 203: loss 5.1321, time 95.02ms, mfu 2.05%
iter 204: loss 4.4502, time 95.19ms, mfu 2.05%
iter 205: loss 4.3237, time 95.29ms, mfu 2.05%
iter 206: loss 4.6470, time 95.53ms, mfu 2.05%
iter 207: loss 4.1573, time 94.66ms, mfu 2.05%
iter 208: loss 4.4310, time 95.16ms, mfu 2.05%
iter 209: loss 5.0297, time 95.06ms, mfu 2.05%
iter 210: loss 4.1443, time 95.07ms, mfu 2.05%
iter 211: loss 4.2179, time 95.10ms, mfu 2.05%
iter 212: loss 4.4392, time 95.98ms, mfu 2.05%
iter 213: loss 4.2463, time 95.36ms, mfu 2.05%
iter 214: loss 4.3679, time 95.30ms, mfu 2.05%
iter 215: loss 4.4508, time 95.12ms, mfu 2.05%
iter 216: loss 4.3120, time 95.54ms, mfu 2.05%
iter 217: loss 4.1254, time 95.41ms, mfu 2.05%
iter 218: loss 4.5958, time 95.05ms, mfu 2.05%
iter 219: loss 4.7630, time 95.21ms, mfu 2.05%
iter 220: loss 5.0218, time 95.18ms, mfu 2.05%
iter 221: loss 4.5299, time 95.38ms, mfu 2.05%
iter 222: loss 4.2988, time 94.94ms, mfu 2.05%
iter 223: loss 4.1224, time 95.54ms, mfu 2.05%
iter 224: loss 4.3902, time 94.81ms, mfu 2.05%
iter 225: loss 4.3100, time 96.27ms, mfu 2.05%
iter 226: loss 4.4795, time 94.94ms, mfu 2.05%
iter 227: loss 4.1750, time 95.37ms, mfu 2.05%
iter 228: loss 3.6345, time 95.05ms, mfu 2.05%
iter 229: loss 4.4772, time 95.24ms, mfu 2.05%
iter 230: loss 4.3131, time 94.86ms, mfu 2.05%
iter 231: loss 4.2035, time 95.31ms, mfu 2.05%
iter 232: loss 4.1528, time 95.10ms, mfu 2.05%
iter 233: loss 4.5148, time 95.24ms, mfu 2.05%
iter 234: loss 3.8826, time 94.89ms, mfu 2.05%
iter 235: loss 4.5193, time 95.20ms, mfu 2.05%
iter 236: loss 4.3338, time 95.29ms, mfu 2.05%
iter 237: loss 4.5847, time 95.63ms, mfu 2.05%
iter 238: loss 4.3710, time 95.55ms, mfu 2.05%
iter 239: loss 4.0761, time 94.91ms, mfu 2.05%
iter 240: loss 4.0415, time 95.10ms, mfu 2.05%
iter 241: loss 4.4080, time 95.13ms, mfu 2.05%
iter 242: loss 4.4976, time 95.21ms, mfu 2.05%
iter 243: loss 4.6086, time 95.17ms, mfu 2.05%
iter 244: loss 4.8045, time 95.12ms, mfu 2.05%
iter 245: loss 4.3535, time 95.14ms, mfu 2.05%
iter 246: loss 4.6445, time 95.18ms, mfu 2.05%
iter 247: loss 4.2667, time 96.15ms, mfu 2.05%
iter 248: loss 4.5085, time 95.12ms, mfu 2.05%
iter 249: loss 4.6474, time 95.50ms, mfu 2.05%
step 250: train loss 4.3484, val loss 5.0162
saving checkpoint to out-shakespeare-char
iter 250: loss 4.3141, time 5285.44ms, mfu 1.85%
iter 251: loss 4.5846, time 95.02ms, mfu 1.87%
iter 252: loss 4.5252, time 99.09ms, mfu 1.88%
iter 253: loss 4.3730, time 95.43ms, mfu 1.89%
iter 254: loss 3.9666, time 95.20ms, mfu 1.91%
iter 255: loss 4.1955, time 95.93ms, mfu 1.92%
iter 256: loss 4.5145, time 95.06ms, mfu 1.94%
iter 257: loss 4.5827, time 96.02ms, mfu 1.95%
iter 258: loss 4.2270, time 94.78ms, mfu 1.96%
iter 259: loss 4.3292, time 95.93ms, mfu 1.96%
iter 260: loss 4.3127, time 95.22ms, mfu 1.97%
iter 261: loss 4.1394, time 95.49ms, mfu 1.98%
iter 262: loss 4.6961, time 95.19ms, mfu 1.99%
iter 263: loss 4.8543, time 96.92ms, mfu 1.99%
iter 264: loss 4.2426, time 95.02ms, mfu 2.00%
iter 265: loss 4.1672, time 95.20ms, mfu 2.00%
iter 266: loss 3.9115, time 96.03ms, mfu 2.00%
iter 267: loss 4.2119, time 95.01ms, mfu 2.01%
iter 268: loss 4.0876, time 95.35ms, mfu 2.01%
iter 269: loss 4.3560, time 95.53ms, mfu 2.02%
iter 270: loss 4.3464, time 95.29ms, mfu 2.02%
iter 271: loss 4.0636, time 95.33ms, mfu 2.02%
iter 272: loss 4.6903, time 96.53ms, mfu 2.02%
iter 273: loss 5.1947, time 95.18ms, mfu 2.02%
iter 274: loss 4.5114, time 95.70ms, mfu 2.03%
iter 275: loss 4.2895, time 95.83ms, mfu 2.03%
iter 276: loss 4.2152, time 94.26ms, mfu 2.03%
iter 277: loss 4.3053, time 94.89ms, mfu 2.03%
iter 278: loss 4.4616, time 95.01ms, mfu 2.04%
iter 279: loss 4.2517, time 95.05ms, mfu 2.04%
iter 280: loss 4.2947, time 94.81ms, mfu 2.04%
iter 281: loss 4.3555, time 94.98ms, mfu 2.04%
iter 282: loss 4.0709, time 95.32ms, mfu 2.04%
iter 283: loss 4.6331, time 95.38ms, mfu 2.04%
iter 284: loss 4.4737, time 94.86ms, mfu 2.04%
iter 285: loss 4.4895, time 94.82ms, mfu 2.05%
iter 286: loss 4.6575, time 94.83ms, mfu 2.05%
iter 287: loss 4.1807, time 96.43ms, mfu 2.04%
iter 288: loss 3.8274, time 94.73ms, mfu 2.05%
iter 289: loss 4.2326, time 94.93ms, mfu 2.05%
iter 290: loss 3.8707, time 95.11ms, mfu 2.05%
iter 291: loss 4.1689, time 97.03ms, mfu 2.04%
iter 292: loss 4.2736, time 95.21ms, mfu 2.04%
iter 293: loss 4.2136, time 95.51ms, mfu 2.04%
iter 294: loss 4.3977, time 94.58ms, mfu 2.05%
iter 295: loss 4.1592, time 94.69ms, mfu 2.05%
iter 296: loss 4.2526, time 95.17ms, mfu 2.05%
iter 297: loss 3.7516, time 95.40ms, mfu 2.05%
iter 298: loss 4.6674, time 94.78ms, mfu 2.05%
iter 299: loss 4.3770, time 95.06ms, mfu 2.05%
iter 300: loss 3.7819, time 94.96ms, mfu 2.05%
iter 301: loss 4.4120, time 95.30ms, mfu 2.05%
iter 302: loss 4.1846, time 95.82ms, mfu 2.05%
iter 303: loss 4.2629, time 95.01ms, mfu 2.05%
iter 304: loss 4.3463, time 95.06ms, mfu 2.05%
iter 305: loss 4.3501, time 96.22ms, mfu 2.05%
iter 306: loss 4.1692, time 95.50ms, mfu 2.05%
iter 307: loss 4.1248, time 94.81ms, mfu 2.05%
